store_name,StoreNumber,State,City,Address,HighwayOrExit,Zip,Latitude,Longitude,DEFLanes,ParkingSpaces,StoreType,Phone,Fax,Unleaded,Midgrade,Premium,Diesel,Blend,Propane,BulkDEF,Restaurants
Love's Travel Center,650,OR,Boardman,78665 Tower Road,I-84 / 159,97818,45.825166,-119.798742,8,95,Travel Stop,(541) 481-2934,(541) 481-3146,3.599,3.899,4.199,4.189,B20,3.499,4.489,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,795,OR,Madras,1678 SE Highway 97,US Hwy 26/97 / Hall Rd,97741,44.61226,-121.137633,6,81,Travel Stop,(541) 675-6008,(541) 675-6009,3.499,3.799,4.099,4.189,B20,4.599,4.489,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,753,MT,Missoula,8077 Hwy 10 West,I-90 / 96,59808,46.947602,-114.133598,8,56,Travel Stop,(406) 721-8386,(406) 721-8377,2.599,2.899,3.199,3.449,,3.999,4.389,"Hardee's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,312,OR,Roseburg,280 Grant Smith Rd,I-5 / 119,97471,43.150503,-123.367895,8,76,Travel Stop,(541) 679-1916,(541) 679-2083,3.599,3.949,4.249,4.249,,,4.489,Arby's
Love's Travel Center,789,MT,Great Falls,3219 Airport Drive,I-15 / 277,59404,47.475031,-111.361108,6,51,Travel Stop,(406) 453-0632,(406) 727-0682,2.699,2.999,3.299,3.399,,3.999,4.389,"Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,569,OR,Baker City,200 Campbell St,I-84 / 304/Campbell St,97814,44.784961,-117.807806,8,81,Travel Stop,(541) 239-6009,(541) 239-3010,3.439,3.739,4.039,4.059,B5,,4.489,"Arby's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,823,OR,Klamath Falls,250 Dan O'brien Way,US Hwy-97 / Dan Obrien Way,97601,42.258046,-121.799445,7,94,Travel Stop,(541) 363-4499,(541) 363-4500,3.599,3.899,4.199,4.289,B20,4.599,4.489,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,474,ND,Williston,104 104th Street East,US Hwy-2 / US Hwy-85B/104th St E,58801,48.243802,-103.621143,8,108,Travel Stop,(701) 572-3578,(701) 572-3987,2.749,3.149,3.499,3.839,,3.999,4.489,"Godfather's Pizza,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,372,OR,Ontario,1041 NW Washington Ave.,I-84 / 374,97914,44.045823,-116.977143,7,86,Travel Stop,(541) 823-8282,(541) 823-2514,3.359,3.659,3.959,4.149,B5,,4.489,"Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,843,ND,Drayton,7988 160th Ave NE,I-29 / 187/ND Hwy-66,58225,48.570063,-97.1893,6,63,Travel Stop,(701) 454-3070,(701) 454-3076,2.599,2.999,3.349,3.949,,3.999,4.489,"Taco John's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches"
Love's Travel Center,679,MT,Hardin,1270 N State Highway 47,I-90 / 495/Hwy 47,59034,45.748255,-107.611532,5,74,Travel Stop,(406) 665-9029,(406) 665-1097,2.649,2.949,3.249,3.499,,,4.389,"Hardee's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,410,CA,Corning,2120 South Ave.,I-5 / 630,96021,39.907601,-122.196352,12,130,Travel Stop,(530) 824-8767,(530) 824-8776,4.499,4.799,5.099,5.289,B20,4.499,4.589,"Denny's,Godfather's Pizza,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,812,ID,Bliss,680 US Hwy 30,I-84 / 141/US Hwy 30,83314,42.924687,-114.940688,9,116,Travel Stop,(208) 536-7083,(208) 536-7084,2.899,3.199,3.499,4.149,,3.999,4.589,"McDonald's,Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,224,ND,Sterling,3201 Hwy-14,I-94 / 182/ND-14 N,58572,46.840108,-100.286974,5,59,Travel Stop,(701) 877-6081,(701) 877-6082,2.499,2.899,3.249,3.759,,2.999,4.489,"Godfather's Pizza,Subway"
Love's Travel Center,849,ND,Valley City,1385 8th Ave SW,I-94 / 292,58072,46.910457,-98.00599,7,98,Travel Stop,(701) 760-5015,(701) 760-5017,2.589,2.989,3.339,3.949,,3.999,4.489,"McDonald's,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos"
Love's Travel Center,478,ID,Idaho Falls,6737 South 45th West,I-15 / 113,83402,43.436962,-112.119846,7,59,Travel Stop,(208) 529-1904,(208) 522-6495,2.799,3.099,3.399,4.089,,4.599,4.589,"McDonald's,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos"
Love's Travel Center,652,CA,Williams,100 Marguerite Street,I-5 / 578/Hwy 20,95987,39.167256,-122.14382,8,88,Travel Stop,(530) 473-3030,(530) 473-3038,4.199,4.499,4.799,5.289,B20,4.499,4.589,"Arby's,Godfather's Pizza,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,353,ND,Fargo,3220 39th St S,I-29 / 62,58104,46.831448,-96.844139,8,96,Travel Stop,(701) 281-0761,(701) 281-0763,2.579,2.979,3.329,3.789,,3.999,4.489,"McDonald's,Subway,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,334,ID,Heyburn ,260 Centennial Dr.,I-84 / 211/US Hwy-30,83336,42.564532,-113.740836,7,70,Travel Stop,(208) 434-8777,(208) 434-8779,2.759,3.059,3.359,4.149,,3.999,4.589,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,797,NV,Winnemucca,3550 W Winnemucca,I-80 / 176/NV Hwy-289,89445,40.950788,-117.757554,8,68,Travel Stop,(775) 375-3070,(775) 375-3072,2.819,3.169,3.469,4.189,,3.999,4.689,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,891,NV,Jackpot,1563 US Hwy-93,US Hwy-93 / Progressive Dr,89825,41.982285,-114.672304,5,44,Travel Stop,(775) 755-2819,(775) 755-2886,2.999,3.349,3.649,3.749,,3.999,4.689,"Subway,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,965,WY,Buffalo ,190 US Hwy 16 E,I-90 / 58/Hwy-16,82834,44.357109,-106.662045,6,64,Travel Stop,(307) 621-6064,(307) 621-6065,2.459,2.759,3.059,3.549,,,4.589,"Arby's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,246,NV,Fernley,825 Commerce Center Dr.,I-80 / 46 @ Hwy 95A,89408,39.618046,-119.266446,9,54,Travel Stop,(775) 575-2200,(775) 575-2215,3.499,3.849,4.149,4.249,,,4.689,"Arby's,Godfather's Pizza,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,978,NV,Carlin,2001 SR 766,I-80 / 280/Hwy-766,89822,40.723881,-116.107452,7,72,Travel Stop,(775) 754-2020,(775) 754-2022,2.899,3.249,3.549,3.569,,2.999,4.589,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,365,NV,Wells ,157 Hwy 93 S.,I-80 / 352,89835,41.098956,-114.959945,7,68,Travel Stop,(775) 752-9915,(775) 752-9917,2.999,3.349,3.649,3.989,,,4.689,"McDonald's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,538,CA,Lodi,15250 North Thornton Rd,I-5 / 485,95242,38.117395,-121.39261,8,90,Travel Stop,(209) 333-9392,(209) 333-9772,4.199,4.499,4.799,5.289,B20,4.499,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,602,SD,Box Elder,679 Reagan Ave,I-90 / 67B,57719,44.120411,-103.052222,8,75,Travel Stop,(605) 923-4292,(605) 923-4307,2.839,3.239,3.539,4.149,,3.999,4.489,"Hardee's,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos"
Love's Travel Center,223,CA,Ripon ,1553 Colony Rd.,CA Hwy-99 / 237B,95366,37.755193,-121.14151,7,95,Travel Stop,(209) 599-0740,(209) 599-3680,4.179,4.479,4.779,5.349,B20,4.499,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,686,UT,Brigham City,20 South 1550 West St,I-15 / 363,84302,41.508809,-112.053738,9,96,Travel Stop,(435) 723-1789,(435) 723-0223,2.699,2.999,3.299,4.049,,3.999,4.589,"Carl's Jr.,Subway,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,842,MN,Rockville,8708 Crossing Drive,I-94 / 164/MN Hwy-23,56301,45.512369,-94.285667,9,101,Travel Stop,(320) 443-0150,(320) 443-0180,2.749,3.199,3.599,3.989,B5,,4.489,"Hardee's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,807,CA,Patterson,55 S Rogers Rd,I-5 / 434/Sperry Ave,95363,37.462921,-121.175756,8,91,Travel Stop,(209) 895-5021,(209) 895-5022,4.299,4.599,4.899,5.389,B20,4.499,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,832,MN,Columbus ,15402 Hornsby Street NE,I-35 / 129,55025,45.248883,-93.022763,9,87,Travel Stop,(651) 846-1007,(651) 846-1008,2.599,3.049,3.449,3.789,B5,3.999,4.489,"Godfather's Pizza,Hardee's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,441,CA,Santa Nella,29025 West Plaza Dr.,I-5 / 407,95322,37.111363,-121.016625,8,85,Travel Stop,(209) 827-1399,(209) 827-1033,4.159,4.459,4.759,5.389,B20,,4.589,"Del Taco,Sandwiches,Tacos"
Love's Travel Center,898,CA,Salinas,1264 De La Torre,US Hwy-101 / 326A,93905,36.659302,-121.618714,9,94,Travel Stop,(831) 500-6979,(831) 500-6980,4.259,4.559,4.859,4.989,B20,4.499,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,436,UT,Salt Lake City,25 N. Redwood Rd.,I-80 / 118,84116,40.769949,-111.939921,9,78,Travel Stop,(801) 239-1100,(801) 239-1692,2.789,3.089,3.389,4.049,,,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,888,WY,Green River,8901 Hwy 374,I-80 / 85/WY Hwy-374,82935,41.560036,-109.539654,9,90,Travel Stop,(307) 364-9001,(307) 364-9002,2.589,2.889,3.189,4.049,,3.999,4.589,"Carl's Jr.,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,622,WI,Menomonie,5930 Badger Dr.,I-94 / 45,54751,44.906993,-91.855865,7,110,Travel Stop,(715) 231-2163,(715) 231-2167,2.749,3.249,3.749,3.949,,3.999,4.489,"Hardee's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,310,WY,Wamsutter,314 Kelly Rd,I-80 / 173,82336,41.675893,-107.982457,9,95,Travel Stop,(307) 324-0087,(307) 324-3675,2.899,3.199,3.499,4.049,,4.259,4.589,"Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,736,CA,Madera,3174 Avenue 17,Hwy 99 / 157/Avenue 17,93638,36.995626,-120.096252,9,90,Travel Stop,(559) 661-1012,(559) 661-1023,4.159,4.459,4.759,5.389,B20,4.839,4.589,"Arby's,Godfather's Pizza"
Love's Travel Center,691,NV,Ely,1701 Great Basin Blvd,Hwy 50/93 / Hwy 6,89301,39.242743,-114.869115,5,48,Travel Stop,(775) 289-3520,(775) 289-3203,2.579,2.929,3.229,4.099,,3.899,4.689,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,816,SD,Kimball,1100 S Main Street,I-90 / 284/Main Street,57355,43.736356,-98.957259,6,77,Travel Stop,(605) 778-6140,(605) 778-6181,2.549,2.949,3.249,3.949,,3.999,4.489,"Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,857,NV,Tonopah,1170 US Hwy-95,US Hwy-95/6 / Radar Rd,89049,38.079307,-117.253181,5,44,Travel Stop,(775) 477-6002,(775) 477-6003,3.559,3.909,4.209,4.189,,3.999,4.689,"Godfather's Pizza,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,518,UT,Springville,358 South 2200 West,I-15 / 260,84663,40.162271,-111.651681,8,55,Travel Stop,(801) 489-8746,(801) 489-8755,2.479,2.779,3.079,4.049,,3.999,4.589,"Chester's,McDonald's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,445,SD,Sioux Falls,5301 N. Cliff Ave.,I-90 / 399,57104,43.604138,-96.712132,7,85,Travel Stop,(605) 332-7611,(605) 335-1567,2.589,2.989,3.289,4.149,,,4.489,"Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,844,MN,St. Charles,2102 Enterprise Drive,I-90 / 233/MN Hwy-74,55972,43.954459,-92.064198,8,61,Travel Stop,(507) 932-9913,(507) 932-9943,2.599,3.049,3.449,3.989,B5,3.999,4.489,"Hardee's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,723,WY,Laramie,1770 McCue St,I-80 / 310/W Curtis St,82072,41.329021,-105.610322,9,82,Travel Stop,(307) 742-2910,(307) 742-2896,2.699,2.999,3.299,3.949,,3.999,4.589,"Carl's Jr.,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,382,CA,Tulare,2700 S. Blackstone St.,Hwy 99 / 85,93274,36.180909,-119.330122,12,150,Travel Stop,(559) 686-1400,(559) 686-3049,4.199,4.499,4.799,5.349,B20,4.499,4.589,"McDonald's,Subway,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,337,MN,Albert Lea,2751 E. Main St.,I-35 / 11,56007,43.6598,-93.31592,7,58,Travel Stop,(507) 373-3200,(507) 373-3204,2.899,3.349,3.749,3.989,B5,3.999,4.489,"Wendy's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,345,WI,Oakdale,220 Oakwood St.,I-90/94 / 48,54660,43.961187,-90.378159,8,76,Travel Stop,(608) 372-3820,(608) 372-3829,2.589,3.089,3.589,3.889,,3.999,4.489,"Hardee's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,835,UT,Fillmore,915 South 1100 West,I-15 / 163,84631,38.948548,-112.352721,8,79,Travel Stop,(435) 334-7002,(435) 334-7003,2.429,2.729,3.029,4.089,,3.999,4.589,"Taco John's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches"
Love's Travel Center,870,NY,Watertown,23425 State Route 12,I-81 / 47/State Rt-12,13601,44.002115,-75.921886,7,71,Travel Stop,(315) 221-7018,(315) 221-7019,2.839,3.339,3.739,4.389,,3.999,4.889,"Godfather's Pizza,McDonald's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,581,UT,Salina,1915 South State Street,I-70 / 56,84654,38.932001,-111.853582,6,65,Travel Stop,(435) 287-0460,(435) 287-0465,2.789,3.089,3.389,4.089,,3.999,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,220,WY,Cheyenne,3305 W. College Dr.,I-25 / 7,82007,41.098166,-104.848606,7,40,Travel Stop,(307) 632-7902,(307) 632-7929,2.749,3.049,3.349,3.889,,,4.589,"Wendy's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,230,CA,Lost Hills,21948 Highway 46,I-5 / 278,93249,35.616981,-119.65888,7,75,Travel Stop,(661) 797-1800,(661) 797-1220,4.199,4.499,4.799,5.289,B20,3.999,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,587,WI,Fond du Lac,191 West Rolling Meadows Drive,I-41 / 97,54937,43.748125,-88.46358,7,85,Travel Stop,(920) 907-0145,(920) 907-0220,2.799,3.299,3.799,3.989,,3.999,4.489,Subway
Love's Travel Center,869,IA,Le Mars,2280 Key Ave SW,US Hwy-75 / 116/24th St SW,51031,42.766218,-96.212397,6,68,Travel Stop,(712) 539-4016,(712) 539-4017,2.699,3.149,3.499,3.849,B6,,4.489,"Arby's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,640,WI,Sheboygan,6710 South Business Dr,I-43 / 120/CR-V,53081,43.6769,-87.7577,6,53,Travel Stop,(920) 458-1697,(920) 458-1751,2.749,3.249,3.749,3.489,,3.999,4.489,"Hardee's,Salads/Wraps/Sub-Sandwiches/Parfaits"
Love's Travel Center,670,IA,Floyd,100 Monroe Street,Hwy 18 / Monroe St,50435,43.122762,-92.735463,8,85,Travel Stop,(641) 398-2404,(641) 398-2408,2.499,2.949,3.299,4.049,B6,,4.489,"Godfather's Pizza,Subway,Chicken Drumsticks,Sandwiches,Tacos"
Love's Travel Center,637,WI,Dekorra - Poynette,W9493 County Road Cs,I-90 / 115 @ CR CS,53955,43.390296,-89.469399,8,73,Travel Stop,(608) 635-2944,(608) 635-4523,2.599,3.099,3.599,3.889,,3.999,4.489,"Hardee's,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos"
Love's Travel Center,479,IA,Sioux City,2525 Singing Hills Blvd,I-29 / 143,51111,42.434652,-96.379902,6,58,Travel Stop,(712) 224-3675,(712) 224-3677,2.599,3.049,3.399,4.049,B6,3.999,4.489,"Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,625,NE,Sidney,645 Chase Blvd,I-80 / 59 @ Upland Pkwy,69162,41.109221,-102.950521,8,88,Travel Stop,(308) 254-4832,(308) 254-6002,2.899,3.299,3.599,3.989,,3.999,4.689,"Taco John's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches"
Love's Travel Center,792,UT,Green River,1810 Main Street,I-70 / 160 NWQ,84525,38.995129,-110.185162,6,80,Travel Stop,(435) 564-8262,(435) 564-3360,2.899,3.199,3.499,4.149,,3.999,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,830,CA,Bakersfield,1500 Taft Hwy,CA Hwy-99 / 18/Taft Hwy,93307,35.267733,-119.019841,8,113,Travel Stop,(661) 617-5324,(661) 617-5325,4.099,4.399,4.699,5.289,B20,,4.589,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,335,UT,Cedar City,2645 N Canyon Ranch Dr,I-15 / 62,84720,37.725785,-113.051367,8,48,Travel Stop,(435) 867-9888,(435) 867-9890,2.849,3.149,3.449,4.089,,3.999,4.589,"Carl's Jr.,Subway,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos"
Love's Travel Center,680,NE,Norfolk,1300 Monroe Ave,Hwy 81 / Monroe Ave,68701,42.011302,-97.427622,4,87,Travel Stop,(402) 379-2920,(402) 379-1443,2.699,3.099,3.399,3.789,,3.999,4.589,"Hardee's,Chicken Drumsticks,Sandwiches,Tacos"
Love's Travel Center,743,MI,Bridgeport,6560 Dixie Highway,I-75 / 144,48722,43.348709,-83.861776,8,102,Travel Stop,(989) 746-9561,(989) 746-9563,2.749,3.249,3.749,4.149,,2.999,4.489,"Hardee's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,826,CO,Parachute,100 E Cardinal Way Ste A,I-70 / 75/CR-215,81635,39.455511,-108.043937,7,67,Travel Stop,(970) 285-9200,(970) 285-1117,2.899,3.299,3.649,4.149,,3.999,4.589,"Chester's,McDonald's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,668,CO,Berthoud,3800 E State Highway 56,I-25 / 250/E State Hwy 56,80513,40.305165,-104.984229,8,89,Travel Stop,(970) 532-2507,(970) 532-2597,2.869,3.269,3.619,3.889,,3.999,4.589,"Subway,Taco John's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches"
Love's Travel Center,517,CO,Grand Junction,748 22 Road,I-70 / 26,81505,39.114154,-108.646213,7,80,Travel Stop,(970) 241-3337,(970) 241-1537,2.799,3.199,3.549,4.149,,3.999,4.589,"Carl's Jr.,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos"
Love's Travel Center,390,NE,North Platte,3211 S Newberry Rd,I-80 / 179,69101,41.10262,-100.72389,8,80,Travel Stop,(308) 534-4610,(308) 534-4627,2.529,2.929,3.229,4.089,,3.999,4.689,"McDonald's,Subway,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos"
Love's Travel Center,392,CA,Tehachapi,2000 East Tehachapi Blvd.,Hwy 58 / 151,93561,35.12607,-118.40815,8,82,Travel Stop,(661) 823-1484,(661) 823-1486,4.199,4.499,4.799,5.389,B20,4.999,4.589,"McDonald's,Subway,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos"
